EP_train_inference:0:  15%|| 310/2084 [18:55<1:46:04,  3.59s/it]
avg_loss: 4.640776634216309, avg_ce_loss: 2.639021158218384, avg_contrast_loss: 2.0017552375793457
avg_loss: 4.640694618225098, avg_ce_loss: 2.6390435695648193, avg_contrast_loss: 2.001650810241699
avg_loss: 4.64040470123291, avg_ce_loss: 2.639007091522217, avg_contrast_loss: 2.0013978481292725
avg_loss: 4.640441417694092, avg_ce_loss: 2.639014720916748, avg_contrast_loss: 2.0014266967773438
avg_loss: 4.640431880950928, avg_ce_loss: 2.639047145843506, avg_contrast_loss: 2.001384973526001
avg_loss: 4.640408515930176, avg_ce_loss: 2.639061450958252, avg_contrast_loss: 2.0013465881347656
avg_loss: 4.6402692794799805, avg_ce_loss: 2.639023542404175, avg_contrast_loss: 2.0012454986572266
avg_loss: 4.640305042266846, avg_ce_loss: 2.6390933990478516, avg_contrast_loss: 2.001211643218994
avg_loss: 4.640297889709473, avg_ce_loss: 2.639064311981201, avg_contrast_loss: 2.0012335777282715
avg_loss: 4.640192031860352, avg_ce_loss: 2.6390318870544434, avg_contrast_loss: 2.001160144805908
avg_loss: 4.640176773071289, avg_ce_loss: 2.639050006866455, avg_contrast_loss: 2.001126766204834
avg_loss: 4.640088081359863, avg_ce_loss: 2.639071226119995, avg_contrast_loss: 2.001016855239868
avg_loss: 4.6401519775390625, avg_ce_loss: 2.639026403427124, avg_contrast_loss: 2.0011258125305176
avg_loss: 4.640218734741211, avg_ce_loss: 2.6390230655670166, avg_contrast_loss: 2.0011959075927734
avg_loss: 4.640213966369629, avg_ce_loss: 2.6390790939331055, avg_contrast_loss: 2.0011351108551025
avg_loss: 4.640424728393555, avg_ce_loss: 2.639069080352783, avg_contrast_loss: 2.0013556480407715
avg_loss: 4.640251159667969, avg_ce_loss: 2.639066696166992, avg_contrast_loss: 2.0011844635009766
avg_loss: 4.640286922454834, avg_ce_loss: 2.639096260070801, avg_contrast_loss: 2.0011909008026123
avg_loss: 4.640136241912842, avg_ce_loss: 2.639033317565918, avg_contrast_loss: 2.001102924346924
avg_loss: 4.640192031860352, avg_ce_loss: 2.6390738487243652, avg_contrast_loss: 2.0011186599731445
avg_loss: 4.640285015106201, avg_ce_loss: 2.6390492916107178, avg_contrast_loss: 2.0012359619140625
avg_loss: 4.640344619750977, avg_ce_loss: 2.6391139030456543, avg_contrast_loss: 2.0012311935424805
avg_loss: 4.640294075012207, avg_ce_loss: 2.6390790939331055, avg_contrast_loss: 2.0012145042419434
avg_loss: 4.6403937339782715, avg_ce_loss: 2.639091730117798, avg_contrast_loss: 2.0013020038604736
